source,rg_ratio,lab_a,mean_r,mean_g,mean_b,label
eyes,1.347202,150.70862,95.2212,70.6807,89.098,0
eyes,1.703979,160.979691,104.6291,61.4028,88.9681,0
eyes,1.664935,162.002396,102.9818,61.8533,90.1649,0
eyes,1.689735,161.309612,104.5433,61.8696,88.5871,0
eyes,1.478453,154.871055,99.9626,67.6129,87.4245,0
eyes,1.29924,150.298359,92.3879,71.1092,91.5029,0
eyes,1.588738,157.601157,102.8275,64.7227,87.4498,0
eyes,1.697473,161.510018,106.9314,62.9944,85.0742,0
eyes,1.621436,158.803722,104.3814,64.3759,86.2428,1
eyes,1.454736,154.126349,97.5368,67.0478,90.4154,0
eyes,1.410526,149.608236,96.0821,68.1179,90.8,0
eyes,1.531441,156.712361,101.0966,66.014,87.8894,0
eyes,1.519916,157.974492,99.4063,65.4025,90.1913,1
eyes,1.603604,158.824081,103.5201,64.5547,86.9252,0
eyes,1.218604,145.672778,90.7591,74.4779,89.763,1
eyes,1.731862,163.168568,105.668,61.0141,88.3179,1
eyes,1.586002,157.604192,101.1582,63.7819,90.0598,0
eyes,1.562419,159.254358,102.7723,65.7777,86.45,1
eyes,1.70325,159.048763,107.0469,62.8486,85.1045,0
eyes,1.571321,158.569766,99.3007,63.1957,92.5035,1
eyes,1.592685,158.708106,102.0579,64.0791,88.863,1
eyes,1.611125,157.765194,102.4339,63.5791,88.987,1
eyes,1.723287,161.830434,105.057,60.9632,88.9798,0
eyes,1.411976,156.280699,96.4429,68.3035,90.2537,1
eyes,1.387611,151.304345,96.7287,69.7088,88.5626,0
eyes,1.304673,148.435051,95.0454,72.85,87.1046,0
eyes,1.56087,156.538538,100.7997,64.5792,89.6211,0
eyes,1.486082,155.954269,99.8042,67.1593,88.0365,0
eyes,1.50137,154.25662,101.0023,67.2734,86.7244,1
eyes,1.291599,149.609782,92.2131,71.3945,91.3923,1
eyes,2.028818,161.30957,123.9489,61.0942,69.9569,1
eyes,1.253765,144.887455,92.112,73.4684,89.4196,0
eyes,1.328708,151.015548,93.4807,70.3545,91.1648,1
eyes,1.712987,160.863777,106.8683,62.3871,85.7446,0
eyes,1.380517,152.813909,96.8082,70.1246,88.0671,0
eyes,1.580044,159.012982,102.0457,64.5841,88.3702,1
eyes,1.203404,144.128379,89.7006,74.5391,90.7604,0
eyes,1.959735,165.825947,114.7775,58.5678,81.6547,0
eyes,1.584251,158.02836,103.2809,65.1922,86.5269,0
eyes,1.552559,157.405066,100.3801,64.6546,89.9653,0
eyes,1.734168,160.259751,107.0228,61.7142,86.263,0
eyes,1.674269,156.800241,104.0701,62.1585,88.7714,0
eyes,1.799418,162.859982,107.149,59.5465,88.3045,0
eyes,1.709077,162.725518,106.2459,62.1657,86.5884,0
eyes,1.697988,163.591044,106.412,62.6694,85.9186,0
eyes,1.406148,152.835947,97.1219,69.0695,88.8087,1
eyes,1.537833,154.681252,101.6958,66.1293,87.1749,0
eyes,1.423851,153.905746,97.3938,68.4017,89.2046,0
eyes,1.758916,162.893741,109.4887,62.2479,83.2634,1
tongue,1.398086,144.457428,144.2882,103.2041,101.8666,1
tongue,1.313641,141.838365,151.4046,115.2556,112.3328,1
tongue,1.340663,143.235464,155.9041,116.2888,113.1385,1
tongue,1.322611,141.89581,146.6656,110.891,108.2011,1
tongue,1.399655,145.187443,153.6624,109.786,107.1912,0
tongue,1.43763,147.324057,156.995,109.204,110.3455,0
tongue,1.374014,143.261602,139.5421,101.558,100.4212,1
tongue,1.372089,143.645707,143.5535,104.624,104.0338,1
tongue,1.397966,144.040972,140.5786,100.5594,98.9673,1
tongue,1.396821,143.748601,139.3262,99.7451,97.4964,1
tongue,1.36129,143.99799,152.0991,111.7317,111.2009,1
tongue,1.369797,143.90571,156.3622,114.1499,108.2962,1
tongue,1.350835,142.850015,145.1164,107.4272,105.7291,1
tongue,1.38024,145.183191,159.2809,115.4008,114.0749,0
tongue,1.41793,145.25548,149.1364,105.179,102.2635,0
tongue,1.441467,146.199139,149.2494,103.54,101.6227,0
tongue,1.393137,144.737652,146.5183,105.1715,105.6646,1
tongue,1.362274,142.735085,139.7667,102.5981,100.4075,1
tongue,1.386042,145.349915,158.3592,114.2528,113.1795,0
tongue,1.380174,144.011461,143.7408,104.1469,103.8865,1
tongue,1.344737,142.964032,152.4061,113.3352,109.4942,1
tongue,1.360987,142.418026,136.5915,100.362,98.2939,1
tongue,1.413574,146.434007,154.8699,109.5591,111.6301,0
tongue,1.320419,141.223611,146.2161,110.7346,104.731,1
tongue,1.366556,143.43639,148.2494,108.4839,105.1311,1
tongue,1.361793,143.258952,140.8524,103.4316,103.8673,1
tongue,1.369825,144.846808,155.0715,113.2053,114.4917,1
tongue,1.337595,142.457442,152.1725,113.7658,108.5658,1
tongue,1.341185,142.854684,150.5755,112.2705,109.7751,1
tongue,1.347339,142.857305,149.1647,110.7106,107.1385,1
tongue,1.365254,143.846499,149.0523,109.1755,108.4109,1
tongue,1.421641,145.392631,148.7823,104.6554,101.8871,0
tongue,1.451872,146.142029,142.8689,98.4032,98.2441,0
tongue,1.316686,141.612386,147.7798,112.2362,108.9961,1
tongue,1.366364,143.584291,151.1299,110.6074,106.6827,1
tongue,1.35163,142.860917,147.9305,109.446,106.154,1
tongue,1.358509,143.125347,144.3724,106.2727,104.8906,1
tongue,1.397564,144.379984,147.6059,105.6165,102.0295,1
tongue,1.394469,143.901418,137.0041,98.2482,98.704,1
tongue,1.375289,142.833818,134.2853,97.6415,96.6728,1
tongue,1.37981,144.423627,149.0148,107.9966,107.7043,1
tongue,1.340747,142.691961,146.4606,109.2381,107.4294,1
tongue,1.409689,145.722942,155.1297,110.0453,107.7264,0
tongue,1.388695,145.165406,153.4197,110.4776,110.4763,0
tongue,1.357601,143.090031,142.904,105.2622,104.4163,1
tongue,1.345351,142.792208,147.9897,110.0008,107.3588,1
tongue,1.330937,142.152299,140.1865,105.3292,106.1754,1
tongue,1.402465,145.007197,147.0243,104.8327,104.5393,0
tongue,1.41772,145.215154,142.8925,100.7904,101.0868,0
tongue,1.396003,145.4672,152.4356,109.1944,110.0108,0
tongue,1.342527,142.24163,137.7473,102.603,102.8808,1
tongue,1.39431,144.904887,144.7449,103.8111,106.0919,1
tongue,1.350303,142.720664,145.7082,107.9078,104.8515,1
tongue,1.40567,144.723233,145.6373,103.607,101.9215,1
tongue,1.327788,143.070469,158.3337,119.2462,117.2604,1
tongue,1.318774,140.942449,142.9439,108.3915,102.7761,1
tongue,1.422572,145.251106,144.0525,101.262,100.7337,0
tongue,1.352635,143.200958,149.7115,110.6814,108.0913,1
tongue,1.365533,144.784006,159.7685,117.0009,116.2725,1
tongue,1.351121,142.975302,142.8968,105.7616,106.0489,1
tongue,1.428501,145.132869,140.3181,98.2275,97.6321,0
tongue,1.355763,144.150915,159.4379,117.6002,115.085,1
tongue,1.334725,141.991364,148.359,111.1533,105.8602,1
tongue,1.343937,143.291703,149.9023,111.5397,111.8863,1
tongue,1.356111,143.755405,151.4308,111.6655,111.3135,1
tongue,1.402498,145.998396,158.8054,113.2304,112.5553,0
tongue,1.376504,144.00126,147.5238,107.1728,105.6517,1
tongue,1.37659,145.370602,164.6112,119.579,116.9969,0
tongue,1.399986,144.610097,140.6355,100.4549,102.4503,1
tongue,1.354529,144.667552,160.5517,118.5296,119.1644,1
tongue,1.412014,145.020795,146.3345,103.6353,101.952,0
tongue,1.387698,145.213453,156.8894,113.0574,111.5521,0
tongue,1.427134,146.023409,150.8903,105.7296,104.2752,0
tongue,1.384184,144.487294,148.3769,107.1945,106.73,1
tongue,1.412992,145.288206,148.4132,105.0347,103.6516,0
tongue,1.493845,146.500859,136.3344,91.2641,90.3351,0
tongue,1.334064,142.207042,145.2337,108.8656,106.5497,1
tongue,1.350687,143.460541,153.6757,113.7759,111.2079,1
tongue,1.365587,143.763272,149.6949,109.6195,107.8274,1
tongue,1.397147,145.062599,150.364,107.6221,106.7485,0
tongue,1.342662,143.368471,153.1285,114.0485,113.0124,1
tongue,1.353861,142.875238,145.1699,107.2266,104.8789,1
tongue,1.353529,143.196057,147.6181,109.0616,107.473,1
tongue,1.425528,145.663268,147.9611,103.7939,102.4648,0
tongue,1.346421,143.354639,155.3626,115.3893,112.33,1
tongue,1.374725,143.472302,145.6587,105.9547,102.7261,1
tongue,1.311863,140.745913,138.2031,105.3487,102.4244,1
tongue,1.406415,145.215043,145.9578,103.78,104.7284,0
tongue,1.347794,142.798452,147.2286,109.2368,106.6496,1
tongue,1.459218,147.314428,154.8237,106.1004,103.9638,0
tongue,1.403658,144.931122,145.606,103.7332,103.5399,1
tongue,1.328857,141.32746,142.6294,107.3324,102.1497,1
tongue,1.344933,144.08396,156.2246,116.1579,117.4401,1
tongue,1.335752,142.846142,152.4802,114.153,111.9141,1
tongue,1.320628,141.394382,140.9767,106.7497,104.4339,1
tongue,1.336039,143.020281,152.3792,114.0529,113.1495,1
tongue,1.33115,141.979533,139.5443,104.8298,105.0731,1
tongue,1.398572,145.08413,148.9175,106.4782,106.6412,0
tongue,1.369843,143.142677,141.9293,103.6098,101.6561,1
tongue,1.421018,146.070772,148.1409,104.2499,105.9622,0
tongue,1.353814,142.45801,142.1911,105.03,101.6661,1
tongue,1.404235,145.985012,153.3989,109.2402,111.4206,0
tongue,1.366539,142.909974,138.1226,101.0748,100.1093,1
tongue,1.389731,144.514927,146.7706,105.6108,105.2923,1
tongue,1.379839,143.809164,145.6042,105.5226,103.3287,1
tongue,1.337324,142.659156,149.5033,111.7929,109.5818,1
tongue,1.414542,145.454709,148.533,105.0043,104.5697,0
tongue,1.382392,143.655874,140.4148,101.5738,101.1806,1
tongue,1.36753,144.415835,155.3896,113.6279,112.2123,1
tongue,1.352132,143.435886,154.7712,114.4645,110.63,1
tongue,1.339348,142.838943,147.3647,110.0272,109.2205,1
tongue,1.409505,144.255983,137.5689,97.6009,97.4569,1
tongue,1.329019,142.299476,148.6868,111.8771,109.5725,1
tongue,1.341316,142.583018,145.2501,108.2892,106.9082,1
tongue,1.400803,145.653997,154.1247,110.026,110.1048,0
tongue,1.429441,145.549247,147.07,102.8864,100.7359,0
tongue,1.378458,143.552564,137.8055,99.9708,101.1934,1
tongue,1.298344,140.792664,140.1534,107.9478,107.3783,1
tongue,1.325571,141.956956,145.0642,109.4352,107.708,1
tongue,1.413091,145.200545,147.7584,104.564,102.9267,0
tongue,1.349439,143.462516,153.2633,113.5756,111.3546,1
tongue,1.359235,142.58874,147.1923,108.2905,101.6297,1
